IDENT,PROBLEM,ACTION
100240,R/H ENG #2 INTAKE TUBE GASKET IS LEAKING.,INSTALLED NEW #2 INTAKE TUBE GASKET.
100241,R/H ENG ALL ROCKER COVER GASKETS LEAKING.,INSTALLED NEW R/H ENG ROCKER BOX COVER GASKETS.
100242,AFT BAFFLE BRACKET RIVETS SHEARED.,RESECURED BAFFLE BRACKET.
100243,#3 AFT BAFFLE IS WORN THROUGH AT I/B CYLINDER WRAP.,REMOVED WORN PIECE. FABRICATED REPLACEMENT FROM LIKE MA
100244,FRONT R/H BAFFLE SIDE HAS A CRACK BY SCREW.,STOP DRILLED CRACK.
100245,FRONT R/H BAFFLE WORN THROUGH FROM MUFFLER SHROUD.,REMOVED BAFFLE.
100246,FRONT R/H BAFFLE WORN THROUGH FROM MUFFLER SHROUD.,FABRICATED PATCH W/ LIKE MATERIALS. RIVETED IAW 
100247,"#2, 3 & 4 ROCKER GASKETS LEAKING.","REPLACED #2, 3 & 4 ROCKER GASKETS. LEAK CHECK GOOD."
100248,#3 AFT BAFFLE CRACKED IN SEVERAL PLACES.,INSTALLED NEW BAFFLE.
100249,#3 AFT BAFFLE CRACKED IN SEVERAL PLACES.,REMOVED R/H REAR BAFFLE.
100250,SCREW MISSING IN #4 ROCKER COVER.,INSTALLED & TORQUED NEW SCREW IN #4 ROCKER BOX COVER. R
100251,#2 INTAKE IS LEAKING.,REPLACED GASKET.
100252,BRACKET SECURING OIL LINE TO #2 CYLINDER BROKEN.,REMOVED & REPLACED BRACKET.
100253,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.,REMOVED ENGINE TO FACILITATE REPAIR BY ODEGAARD WINGS.
100254,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.,REINSTALLED ENGINE IAW MAINTENANCE MAN
100255,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100256,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100257,"DOING MAX PERFORM T/O @ 3200, MP WON'T GO ANY HIGHER THAN 24",REQUIRES MX FLIGHT TO VERIFY DISCREPANCY
100258,"ROCKER COVER GASKETS 1, 3 & 4 LEAKING.","REMOVED & REPLACED ROCKER COVER GASKETS 1, 3 & 4."
100259,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED #2 & 4 GASKETS.
100260,"#1, 2 & 3 ROCKER BOX COVER SCREWS LOOSE.",TIGHTENED SCREWS.
100261,#1 & 3 ROCKER COVERS LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.
100262,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.
100263,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.
100264,#3 INTAKE LEAKING AT CLAMP.,READJUSTED & TIGHTENED CLAMP.
100265,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.
100266,"RIVET PULLED THROUGH BAFFLE SEAL, #1 CYL.",REMOVED OLD RIVET & INSTALLED NEW RIVET.
100267,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.
100268,L/H ENGINE I/B BAFFLE INTERCONNECT ROD BROKEN.,REMOVED & REPLACED BAFFLE INTERCONNECT ROD.
100269,#2 INDUCTION TUBE HOSE CLAMP BROKEN.,INSTALLED NEW HOSE CLAMP.
100270,"#1, 2, 3 CYLINDER INTAKE GASKETS LEAKING.",INSTALLED NEW INTAKE GASKETS.
100271,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
100272,AFT R/H BAFFLE HAS MISSING RIVET.,REMOVED & REPLACED RIVET.
100273,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.
100274,RING GEAR HAS TOO MANY DAMAGED TEETH.,REMOVED PROP & INSTALLED SERVICEABLE RING GEAR ASSY. IN
100275,#3 CYLINDER OIL RETURN LINE BEEN CHAFING ON WIRE BUNDLE.,LEAK CHECK GOOD.
100276,#3 CYLINDER OIL RETURN LINE BEEN CHAFING ON WIRE BUNDLE.,REMOVED & REPLACED OIL RETURN LINE.
100277,R/H SIDE BACK BAFFLE IS CRACKED & BRACKET RIVETS BROKEN.,REMOVED R/H SIDE BAFFLE OFF ENGINE.
100278,R/H SIDE BACK BAFFLE IS CRACKED & BRACKET RIVETS BROKEN.,REPLACED BAFFLE W/ SERVICEABLE BAFFLE.
100279,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100280,R/H ENGINE CYL #3 AFT BAFFLE IS CRACKED.,STOP DRILLED CRACK IN R/H ENG #3 AFT BAFFLE.
100281,L/H ENGINE CYL #4 AFT BAFFLE STIFFENER IS CRACKED.,REMOVED & REPLACED CRACKED STIFFENER.
100282,CYL #2 & 3 INTAKES ARE LEAKING.,REMOVED & REPLACED CYL #2 & 3 INTAKE GASKETS.
100283,R/H FWD UPPER BAFFLE SEAL NEEDS TO BE RESECURED.,INSTALLED POP RIVET TO RESECURE R/H FWD BAFFLE SEAL.
100284,#1 INTAKE IS LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET.
100285,ROCKER COVERS 2 & 3 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS 2 & 3.
100286,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #2 INDUCTION TUBE GASKET.
100287,#2 & 3 ROCKER BOX COVER GASKETS LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKETS.
100288,"DURING ENTRY TO 180 DEGREE AUTO, WHEN COLLECTIVE LOWERED TO","INSPECTED THROTTLE LINKAGE, COLLECTIVE LINKAGE, NO DISC"
100289,"CAP SCREW MISSING, L/H ENG #4 BAFFLE.",INSTALLED NEW SCREW.
100290,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
100291,ALL ROCKER COVERS HAVE LOOSE SCREWS.,TIGHTENED ALL COVERS.
100292,R/H ENG #3 INTAKE LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET W/ NEW.
100293,HARDWARE MISSING ON R/H ENGINE #4 ROCKER COVER.,INSTALLED NEW SCREW INTO #4 ROCKER COVER.
100294,#4 INTAKE GASKET LEAKING.,REPLACED GASKET.
100295,RIGHT ENG #2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER.
100296,#1 & 3 ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.
100297,#2 & 4 INDUCTION TUBE GASKETS LEAKING.,INSTALLED NEW #2 & 4 INDUCTION TUBE GASKETS.
100298,ALL SCREWS FOR ROCKER COVERS ARE LOOSE.,TIGHTENED ALL SCREWS.
100299,#1 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS 1 & 4.
100300,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.
100301,R/H REAR BAFFLE MOUNTING SCREW LOOSE.,TIGHTENED R/H REAR BAFFLE MOUNTING SCREW.
100302,L/H BAFFLE PLUG MISSING.,INSTALLED PATCH FABRICATED OUT OF LIKE MATERIAL. INSTAL
100303,#3 INTAKE LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.
100304,ENGINE INSPECTION PANEL MISSING SCREW,REINSTALLED SCREW
100305,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100306,CYL #2 & 3 INTAKES ARE LEAKING.,REPLACED CYL #2 & 3 INTAKE GASKETS.
100307,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.
100308,"#2, 3 & 4 ROCKER BOX COVER SCREWS LOOSE.",TIGHTENED SCREWS.
100309,STARTER RING GEAR MISSING TEETH.,REMOVED & REPLACED STARTER RING GEAR. RESAFETY WIRED PR
100310,#2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED #2 & 4 INTAKE GASKETS W/ NEW.
100311,BOTH BAFFLE PLUGS WORN.,REPLACED BOTH BAFFLE PLUGS.
100312,#1 ROCKER LEAKING.,REMOVED & REPLACED #1 ROCKER COVER GASKET.
100313,R/H FWD BAFFLE MISSING SCREW.,INSTALLED NEW SCREW.
100314,OIL PSI SWITCH WIRING GROMMET IS MISSING.,INSTALLED NEW GROMMET.
100315,#4 INTAKE LEAKING.,REPLACED GASKET.
100316,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100317,ROCKER COVERS 2 & 3 LEAKING.,REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS.
100318,BACK L/H TOP BAFFLE IS CRACKED.,"FABRICATED PATCH, INSTALLED PATCH. RIVET IAW  SRM"
100319,L/H FWD ENGINE BAFFLE CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH. RIVETED IAW"
100320,L/H & R/H SPARK PLUG THROUGH HOLE PLUGS NEED TO BE REPLACED.,INSTALLED NEW ENGINE BAFFLE BUTTON PLUGS.
100321,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100322,L/H FWD ENGINE BAFFLE BLAST TUBE BLOCKED,REMOVED BLOCKAGE
100323,R/H ENGINE 2 & 3 INTAKES LEAKING.,REPLACED #2 & 3 INTAKE GASKETS.
100324,#3 ROCKER COVER LEAKING ON R/H ENGINE.,REPLACED #3 ROCKER COVER GASKET.
100325,"L/H ENGINE INTAKES 1, 2 & 4 LEAKING.","REMOVED & REPLACED 1, 2 & 4 INTAKE GASKETS W/ NEW."
100326,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100327,R/H BAFFLE PLUG NEEDS TO BE CHANGED.,REMOVED & REPLACED BAFFLE PLUG.
100328,#3 INTAKE IS LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.
100329,L/H BOTTOM BAFFLE WIRE HOLDER IS BROKEN.,REMOVED & REPLACED LOWER L/H BAFFLE TIE ROD.
100330,#4 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100331,SPARK PLUG BAFFLE PLUG IS WORN.,INSTALLED NEW BAFFLE PLUG.
100332,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET. CLEANED FUEL STAINS I
100333,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.
100334,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100335,"#2 CYL, LEFT ENG INTAKE IS LEAKING.",REMOVED & REPLACED #2 INTAKE GASKET.
100336,R/H ENGINE #4 CYL INTAKE GASKET IS LEAKING.,REPLACED GASKET.
100337,R/H ENGINE #1 CYL SIDE BAFFLE SEAL IS TORN.,REMOVED & REPLACED SEAL.
100338,R/H ENGINE #3 CYL AFT BAFFLE SEAL IS OUT OF PLACE.,RESECURED BAFFLE SEAL.
100339,L/H SIDE BAFFLE CRACKED.,"PATCHED W/ LIKE MATERIAL. RIVETING IAW , CH"
100340,L/H DEFLECTOR BAFFLE IS CRACKED.,"PATCHED W/ LIKE MATERIAL. RIVETING IAW , CH"
100341,#2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED ROCKER COVER GASKETS.
100342,ENGINE BAFFLE BUTTONS WORN.,REMOVED OLD BAFFLE BUTTONS & INSTALLED NEW ONES ON L/H
100343,#4 INTAKE GASKET IS LEAKING.,REPLACED GASKET.
100344,LOWER RIGHT BAFFLE SPRING IS BROKEN.,REPLACED W/ NEW BAFFLE SPRING.
100345,R/H BACK BAFFLE BRACKET SCREWS ARE LOOSE.,"REMOVED BAFFLE, INSTALLED NEW BRACKET SCREWS & REINSTAL"
100346,BOTH BAFFLE PLUGS BAD.,REMOVED & REPLACED BOTH BAFFLE PLUGS.
100347,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100348,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100349,CYL #3 BACK BAFFLE SCREW MISSING.,INSTALLED CYL #3 BACK BAFFLE SCREW.
100350,SPIRAL WRAP ON ROCKER OIL RETURN LINES #1 & 3 REQUIRES REPLA,REMOVED & REPLACED SPIRAL WRAP ON ROCKER RETURN LINES #
100351,L/H ENGINE ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED DOWN SCREWS.
100352,R/H ENGINE ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED DOWN SCREWS.
100353,R/H ENG #2 INTAKE GASKET LEAKS.,REMOVED & REPLACED INTAKE GASKET.
100354,#4 INDUCTION TUBE GASKET LEAKING.,REPLACED #4 INDUCTION TUBE GASKET.
100355,#2 & 4 ROCKER BOX COVER GASKETS LEAKING.,REPLACED #2 & 4 ROCKER COVER GASKETS
100356,#1 INTAKE GASKET LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.
100357,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET W/ NEW.
100358,#1 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE TUBE.
100359,ENGINE BAFFLE PLUG MISSING.,INSTALLED NEW BAFFLE PLUG ON L/H SIDE OF ENGINE.
100360,CYL #1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100361,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100362,CYL #2 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100363,R/H ENGINE #3 & 2 INTAKES LEAKING.,REMOVED & REPLACED GASKET.
100364,R/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.
100365,#2 & 3 INTAKES ON L/H ENGINE ARE LEAKING.,REPLACED #2 & 3 INTAKE GASKETS ON L/H ENGINE.
100366,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
100367,#2 CYLINDER INNER INTAKE PUSH ROD SEAL LEAKING.,REPLACED INNER & OUTER PUSH ROD TUBE SEALS & ROCKER COV
100368,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100369,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100370,FWD PUSH ROD SEAL LEAKING @ ENGINE ON #3 CYLINDER.,REMOVED & REPLACED #3 CYLINDER FWD PUSH ROD TUBE SEALS.
100371,CYL #1 BAFFLE CRACKED AT SCREW SUPPORT & FWD BAFFLE BELOW #1,FABRICATED PATCHES OF LIKE MATERIAL & RIVETED IAW 
100372,R/H BAFFLE SEAL LOOSE (FWD UPPER).,RESECURED BAFFLE SEAL.
100373,BAFFLE SEAL HAS HOLE IN IT.,REPAIRED HOLE IN SEAL.
100374,FRONT BAFFLE RUBBING ON MUFFLER.,APPLIED HIGH TEMP SEALANT TO SEPERATE & SECURE BAFFLE.
100375,#2 INTAKE LEAKING.,REPLACED GASKET.
100376,#3 CYLINDER HAS VALVE STICKING.,INSTALLED REMAINING ITEMS.
100377,#3 CYLINDER HAS VALVE STICKING.,"REMOVED CYL, INSTALLED REPAIRED CYL, TWO -28 PUSH RODS"
100378,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
100379,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100380,"#2, 4 ROCKER COVER IS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.
100381,#2 & 3 INTAKES ARE LEAKING.,REMOVED & REPLACED GASKETS.
100382,#3 CYL AFT BAFFLE MISSING SCREW.,INSTALLED NEW SCREW.
100383,#4 ROCKER COVER IS LEAKING.,REPLACED GASKET.
100384,"ENGINE ROUGH ON START, SUSPECT STUCK VALVE.","INSP'D, FOUND #3 CYL EXHAUST VALVE STUCK OPEN, CONTACTE"
100385,"ENGINE ROUGH ON START, SUSPECT STUCK VALVE.","TORQUED CYL BASE, INSTALLED REMAINING LINES, TUBES, BAF"
100386,#3 FWD PUSH ROD TUBE LEAKING @ ENGINE.,REMOVED & REPLACED #3 FWD PUSH ROD TUBE SEALS. LEAK CHE
100387,CYL #3 INTAKE TUBE LEAKING AT SUMP CONNECTOR HOSE.,TIGHTENED CLAMPS.
100388,CYL #3 AFT BAFFLE MOUNT RIVETS ARE SHEARED.,"REMOVED BAFFLE, REPAIRED MOUNT & REINSTALLED."
100389,#2 CYL BAFFLE SEAL NEEDS TO BE RESECURED.,RESECURED #2 BAFFLE SEAL.
100390,#3 INTAKE GASKET LEAKS.,REPLACED GASKET.
100391,"SCREW MISSING FOR R/H SIDE OF BAFFLING, BEHIND DIPSTICK.","REMOVED DIPSTICK, INSTALLED SCREW, INSTALLED & SAFETIED"
100392,R/H #4 SIDE BAFFLE MISSING BOLTS.,INSTALLED NEW BOLTS.
100393,LEFT ENGINE #3 DRAIN HOSE CLAMP AGAINST BAFFLE.,REPOSITIONED DRAIN TUBE CLAMPS TO CLEAR BAFFLE.
100394,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
100395,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100396,CYL #2 & 4 INTAKES ARE LEAKING.,REPLACED INTAKE GASKETS.
100397,CYL #3 AFT BAFFLE MOUNT LOOSE.,REMOVED BAFFLE & FOUND BAFFLE ALMOST WORN THROUGH AT AF
100398,#3 ROCKER COVER REQUIRES NEW GASKET.,INSTALLED NEW GASKET.
100399,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
100400,"SEVERE KNOCKING, VIBRATIONS ON START UP.","INSPECTED, COMPRESSIONS INDICATED NORMAL. REMOVED COWL,"
100401,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
100402,CYL #2 & 4 INTAKES ARE LEAKING.,REPLACED INTAKE GASKETS.
100403,OIL RETURN LINE CLAMPS LOOSE.,TIGHTENED OIL RETURN LINE CLAMPS.
100404,"LOOSE CABLE SAFETY BAFFLE BOLTS, CYL #2.",TIGHTENED & RESECURED.
100405,#1 & 3 CYL FUEL INJ LINES STANDOFF LOOSE BY OIL FILLER TUBE.,TIGHTENED SCREW.
100406,R/H ENGINE #4 INTAKE IS LEAKING.,REPLACED GASKET.
100407,L/H ENGINE #3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
100408,L/H ENGINE ALL 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100409,R/H ENGINE ALL 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100410,R/H ENGINE #2 & 4 ROCKER OIL RETURN LINES ARE LEAKING.,TIGHTENED CLAMPS.
100411,REPLACE L/H ENGINE TORQUEMETER HOSES.,LEAK CHECKED GOOD.
100412,REPLACE R/H ENGINE TORQUEMETER HOSES.,LEAK CHECKED GOOD.
100413,REPLACE L/H ENGINE TORQUEMETER HOSES.,REPLACED PRESSURE HOSE.
100414,REPLACE R/H ENGINE TORQUEMETER HOSES.,INSTALLED PRESSURE HOSE.
100415,REPLACE L/H ENGINE TORQUEMETER HOSES.,REPLACED VENT HOSE FOR TORQUEMETER.
100416,REPLACE R/H ENGINE TORQUEMETER HOSES.,REPLACED VENT HOSES FOR TORQUEMETER.
100417,R/H REAR ENGINE BAFFLE SUPPORT BROKEN.,INSTALED NEW BAFFLE SUPPORT.
100418,L/H FWD ENGINE BAFFLE CRACKED.,INSTALLED PATCH OF LIKE MATERAL & RIVETED IAW
100419,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100420,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100421,#3 INTAKE LEAKING.,REPLACED GASKET.
100422,#2 ROCKER COVER LEAKING.,REPLACED GASKET.
100423,ENGINE IS TIMED OUT.,REMOVED ENGINE IAW  MAINT MANUAL.
100424,ENGINE IS TIMED OUT.,REMOVED BAFFLING & COMPONENTS FROM OLD ENGINE & STARTED
100425,ENGINE IS TIMED OUT.,INSTALLED ENGINE. PERFORMED PRE-OIL & INSTALLED SPARK P
100426,ENGINE IS TIMED OUT.,"ENGINE RUN UP, LEAK CHECK GOOD."
100427,CYL #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100428,L/H UPPER BAFFLE FOR CYL #4 PLUG HOLE IS ENLARGED.,INSTALLED PATCH MADE OF LIKE MATERIAL & RIVETED IAW CES
100429,R/H INNER CYL BAFFLE TIE ROD IS INSTALLED INCORRECTLY.,TIE ROD BROKE WHILE REPOSITIONING. REMOVED & REPLACED R
100430,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100431,"FWD LOWER BAFFLE, R/H SIDE, IS CRACKED.",STOP DRILLED CRACK & INSTALLED WIDE AREA WASHER TO DIST
100432,#2 & 3 ROCKER COVERS LEAKING.,REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS.
100433,L/H AFT UPPER BAFFLE CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH & INSTALLED PATCH."
100434,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.
100435,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100436,#1 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.
100437,R/H FWD BAFFLE SEAL TORN.,REPAIRED HOLE IN BAFFLE SEAL.
100438,CYL #2 & 4 INTAKES ARE LEAKING.,REPLACED CYL #2 & 4 INTAKE PIPE GASKETS.
100439,#2 CYL ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET W/ NEW.
100440,#2 & 4 INTAKE GASKETS LEAKING.,REPLACED GASKETS.
100441,INTAKES 2 & 4 LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS 2 & 4 ON L/H ENGINE.
100442,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.","REMOVED & REPLACED INTAKE GASKETS #2, 3 & 4 ON R/H ENGI"
100443,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #2 INDUCTION TUBE GASKET.
100444,L/H ENGINE MISSING SCREW & NUT ON BAFFLE BY OIL FILL TUBE.,"REPLACED SCREW, WASHERS & NUT."
100445,R/H ENGINE #3 BAFFLE CRACKED BY UPPER #1 BAFFLE ATTACHMENT.,REPAIRED BAFFLING BY FABRICATING ATTACHMENT OF LIKE MAT
100446,#2 CYLINDER INTAKE GASKET LEAKING.,REPLACED INTAKE GASKET.
100447,#1 ROCKER COVER GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
100448,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
100449,L/H BACK TOP BAFFLE IS CRACKED.,FABRICATED PATCH & INSTALLED.
100450,ENGINE IDLE @ 1700 RPM DURING SHUT DOWN. NO RISE IN RPM ON M,"ADJUSTED IDLE SPEEDS & MIXTURE RISE, OPS CHECK GOOD."
100451,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100452,CYL #3 EXT PUSH ROD TUBE SEAL LEAKING AT CASE.,"REPOSITIONED SEAL, LEAK PERSISTS. DISASSEMBLED & REPLAC"
100453,A/C NEEDS TO BE RUN UP & CHECKED FOR FERRY FLIGHT,"PERFORMED ENGINE RUN UP, SERVICED TIRE PRESSURES. REVIE"
100454,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW ROCKER BOX COVER GASKET.
100455,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
100456,#4 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100457,PILOT REPORTED STRONG ENGINE VIBRATION DURING STOP & GO WHIL,"RAN ENGINE, COULD NOT DUPLICATE DISCREPANCY. ENGINE OPE"
100458,NO RISE DURING MIXTURE CHECK.,"ADJUSTED IDLE MIXTURE, CHECKS GOOD."
100459,#2 INDUCTION TUBE GASKET IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
100460,#2 ROCKER BOX COVER GASKET IS LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100461,#4 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100462,L/H BAFFLE PLUG NEEDS TO BE REPLACED.,REMOVED & REPLACED BAFFLE PLUG.
100463,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.
100464,R/H BOTTOM BAFFLE WIRE SPRING IS BROKEN.,REMOVED & REPLACED BAFFLE & WIRE SPRING W/ NEW.
100465,AFT BAFFLE BRACKET RIVETS SHEARED.,REPLACED RIVETS ON BAFFLE BRACKET & REINSTALLED BAFFLIN
100466,R/H ENGINE #3 INTAKE GASKET LEAKING.,REPLACED GASKET.
100467,L/H ENGINE #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
100468,#3 BAFFLE PLUG IS WORN.,REMOVED & REPLACED PLUG.
100469,#1 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #1 & 4 ROCKER GASKETS.
100470,#4 INTAKE IS LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
100471,#4 CYL BAFFLE IS CRACKED.,STOP DRILLED CRACK.
100472,#2 CYL EXHAUST PUSH ROD TUBE HAS SMALL DENT.,INSTALLED PUSH ROD SHROUD USING NEW SEALS.
100473,"#4 CYL HAS LOW COMPRESSION, AROUND 34 PSI.","TRIED STAKING VALVES, STILL NO COMPRESION. INSPECTED CY"
100474,#2 CYL EXHAUST PUSH ROD TUBE HAS SMALL DENT.,CANNED & INSPECTED SERVICEABLE PUSH RODD SHROUD TUBE FR
100475,#1 INTAKE LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET.
100476,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.
100477,#1 & 3 ROCKER COVER GASKETS ARE BROKEN.,REMOVED & REPLACED ROCKER COVER GASKETS.
100478,#2 INTAKE GASKET LEAKING.,"REMOVED & REPLACED INTAKE GASKET, CLEANED LEAKS AROUND"
100479,#2 & 3 CYLINDER ROCKER CVOER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET. CLEANED LEAKS A
100480,#4 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
100481,ALL 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100482,#3 INTAKE LEAKING.,INSTALLED NEW INTAKE GASKET.
100483,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.
100484,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.
100485,L/H ENGINE ALL INTAKES ARE LEAKING.,REMOVED & REPLACED GASKETS.
100486,"#3 AFT BAFFLE TAB HAS BROKEN RIVETS, NEAR OIL FILLER TUBE.",LEAK CHECK GOOD.
100487,#4 AFT BAFFLE ATTACH PLATE BROKEN.,"FABRICATED, PAINTED & INSTALLED FROM LIKE MATERIAL & TH"
100488,"#3 AFT BAFFLE TAB HAS BROKEN RIVETS, NEAR OIL FILLER TUBE.","REMOVED BAFFLE, REPLACED RIVETS & REINSTALLED BAFFLE. L"
100489,#2 ROCKER COVER LEAKING.,REPLACED ROCKER COVER GASKET.
100490,#3 ROCKER COVER LEAKING.,REPLACED ROCKER COVER GASKET.
100491,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
100492,R/H AFT COWL BRACKET RIVET MISSING.,INSTALLED NEW RIVET.
