,index,c5_id,input,head,relation,tail
152,88,19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,AIRCRAFT,has part,ENGINE
153,88,19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,ENGINE,part of,AIRCRAFT
154,89,19780501031459I,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,LANDING,has part,ENGINES
155,89,19780501031459I,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,ENGINES,part of,LANDING
156,90,19780503031639I,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,PILOT UNABLE TO EXTEND GEAR,instance of,ACTUATOR
157,91,19780504031959I,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",TAKEOFF,has part,LATCH DOOR
158,91,19780504031959I,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",LATCH DOOR,part of,TAKEOFF
159,92,19780514033439I,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,ENGINEER,part of,NEST
160,92,19780514033439I,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,NEST,has part,ENGINEER
161,93,19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,LANDED STRAIGHT AHEAD,facet of,ENGINE
162,94,19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,JETWAY,connects with,AIRCRAFT
163,94,19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,AIRCRAFT,connects with,JETWAY
164,95,19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,WATER IN FUEL,located in the administrative territorial entity,TAKEOFF
165,96,19780526040429I,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,PILOT,has part,TAXIING
166,96,19780526040429I,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,TAXIING,part of,PILOT
167,97,19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ",PILOT,has part,AILERON
168,97,19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ",AILERON,part of,PILOT
169,98,19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,WATER IN FUEL,located in the administrative territorial entity,MARSHY AREA
170,99,19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,COVID-19 pandemic,has effect,COVID-19 pandemic
171,99,19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,COVID-19 pandemic,has cause,COVID-19 pandemic
172,100,19780603041599I,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ",SANK,subclass of,FLOAT
173,101,19780603041629I,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,TAKEOFF,instance of,FLOAT STRUT
174,102,19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,SPRING LOADED TANK DRAIN VALVE,instance of,FUEL
175,103,19780613045599I,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,ENGINE QUIT,part of,FUEL SYSTEM
176,103,19780613045599I,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,FUEL SYSTEM,has part,ENGINE QUIT
177,104,19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,CARB,parent organization,ASSEMBLY
178,104,19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,ASSEMBLY,subsidiary,CARB
179,105,19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,LANDING,has effect,MIXTURE
180,105,19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,MIXTURE,has cause,LANDING
181,106,19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ",NOSE GEAR,use,TOUCHDOWN
182,106,19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ",NOSE GEAR,use,TOUCHDOWN
183,107,19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,AILERON,has part,PUSH ROD
184,107,19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,PUSH ROD,part of,AILERON
185,108,19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,ROPE CAUGHT ON,part of,GLIDER
186,108,19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,GLIDER,has part,ROPE CAUGHT ON
187,109,19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,PLT,shares border with,IL
188,109,19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,IL,shares border with,PLT
189,110,19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ",LOSS OF ALTERNATOR EXCITING CURRENT,facet of,LOOSE BATTERY POST
190,111,19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,FORCED LANDING,product or material produced,FUEL
191,111,19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,FUEL,manufacturer,FORCED LANDING
192,112,19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,BECAME AIRBORNE,replaced by,TKOF
193,112,19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,TKOF,replaces,BECAME AIRBORNE
194,113,19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,CABIN,has part,DOOR
195,113,19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,DOOR,part of,CABIN
196,114,19780607010749A,FULL NOSE DOWN TRIM.                                                                                               ,NOSE TRIM,instance of,video game
197,115,19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ",TKOF,instance of,TRAILER
198,116,19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,PILOT,uses,ENGINE
199,116,19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,ENGINE,used by,PILOT
200,117,19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,WINDSHIELD,product or material produced,OIL
201,118,19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,ENGINE,has part,TANK
202,118,19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,TANK,part of,ENGINE
203,119,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,WATER AND OTHER FOREIGN MATERIAL,part of,GASCOLATOR BOWL
204,119,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,GASCOLATOR BOWL,has part,WATER AND OTHER FOREIGN MATERIAL
205,120,19780625035779I,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,TAKEOFF,instance of,ENGINE
206,121,19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,AIRPLANE,has part,FUEL
207,121,19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,FUEL,part of,AIRPLANE
208,122,19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,MUD DOBBER(WASP),product or material produced,FUEL
209,122,19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,FUEL,manufacturer,MUD DOBBER(WASP)
210,123,19780712023399A,NO NARRATIVE.                                                                                                      ,NO NARRATIVE,instance of,film
211,124,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,LNDD,has part,FLOODED
212,124,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,LNDD,has part,FIELD
213,124,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,FLOODED,part of,LNDD
214,124,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,FLOODED,part of,FIELD
215,124,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,FIELD,part of,LNDD
216,124,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,FIELD,part of,FLOODED
217,125,19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,TAKEOFF,product or material produced,FUEL
218,126,19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,PLT,has part,MIXTURE
219,126,19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,PLT,has part,MIXTURE
220,126,19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,MIXTURE,part of,PLT
221,126,19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,MIXTURE,part of,PLT
222,127,19780704042039I,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ",FUEL,instance of,AIRPORT
223,128,19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,FERRIED,said to be the same as,MAINT
224,128,19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,MAINT,said to be the same as,FERRIED
225,129,19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",TAKEOFF,instance of,AIRBORNE
226,130,19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,IFR,opposite of,VFR
227,130,19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,VFR,opposite of,IFR
228,131,19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,TAKEOFF,elevation above sea level,55
229,132,19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,TAKEOFF,instance of,AIRPORT
230,133,19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,FUEL DRAIN,facet of,FUEL
231,134,19780808049579I,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,PILOT FAILED TO SECURE OIL STICK,product or material produced,OIL
232,135,19780808049829I,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,RAN OFF SIDE OF RUNWAY,located in the administrative territorial entity,TAKEOFF
233,136,19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ",LEFT GEAR COLLAPSED ON ROLL OUT,part of,HYDRAULIC SYSTEM LOW ON FLUID
234,136,19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ",HYDRAULIC SYSTEM LOW ON FLUID,has part,LEFT GEAR COLLAPSED ON ROLL OUT
235,137,19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,FUEL TANK,instance of,ENGINE
236,138,19780814037299I,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,TAKEOFF,product or material produced,GEAR
237,139,19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,TAKEOFF,significant event,FUEL EXHAUSTION
238,139,19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,FUEL EXHAUSTION,participant,TAKEOFF
239,140,19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",LANDING,different from,BROKE
240,140,19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",BROKE,different from,LANDING
241,141,19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,NOSE GEAR,has part,DEFLATED NOSE GEAR STRUT
242,141,19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,DEFLATED NOSE GEAR STRUT,part of,NOSE GEAR
243,141,19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,DEFLATED NOSE GEAR STRUT,part of,NOSE GEAR
244,141,19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,NOSE GEAR,has part,DEFLATED NOSE GEAR STRUT
245,142,19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,JET FUEL,significant event,POWER LOSS
246,143,19780907018599I,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,NOSE GAR,subclass of,LINKAGE
247,144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,TAKEOFF,said to be the same as,BAGGAGE
248,144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,TAKEOFF,said to be the same as,POPPED
249,144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,BAGGAGE,said to be the same as,TAKEOFF
250,144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,BAGGAGE,said to be the same as,POPPED
251,144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,POPPED,said to be the same as,TAKEOFF
252,144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,POPPED,said to be the same as,BAGGAGE
253,145,19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.",PILOT,has part,ENGINE
254,145,19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.",ENGINE,part of,PILOT
255,146,19781018032569I,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,TOW BAR,has part,NOSE WHEEL
256,146,19781018032569I,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,NOSE WHEEL,part of,TOW BAR
257,147,19781102023549I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,FORCED LANDING,product or material produced,FUEL
