c5,c119,c119_entity_linking
19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","[['JAMMED', Entity(wikidata_entity_id=Q1032176, wikipedia_entity_title=Countermeasure), None]]"
19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,"[['AILERON', Entity(wikidata_entity_id=Q509379, wikipedia_entity_title=Aileron), None]]"
19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,"[['ROPE CAUGHT ON GLIDER WHEEL BRACKET', Entity not linked to a knowledge base, 'PERSON']]"
19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,"[['ZERO', Entity not linked to a knowledge base, None], ['T', None, 'CARDINAL'], ['IL CAP', Entity not linked to a knowledge base, None]]"
19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","[['LOOSE BATTERY POST', Entity not linked to a knowledge base, None]]"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"[['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"[['BECAME AIRBORNE', Entity not linked to a knowledge base, 'PERSON'], ['TKOF ABORTED', Entity not linked to a knowledge base, None]]"
19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,"[['REAR CABIN ENTRY', Entity not linked to a knowledge base, None]]"
19780607010749A,FULL NOSE DOWN TRIM.                                                                                               ,"[['FULL NOSE DOWN TRIM', Entity not linked to a knowledge base, None]]"
19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ","[['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None], ['TRAILER', Entity not linked to a knowledge base, None], ['NO LOAD', Entity(wikidata_entity_id=Q2101716, wikipedia_entity_title=Open-circuit test), None], ['R SKID TIEDOWN', Entity not linked to a knowledge base, None]]"
19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,[]
19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,"[['P', Entity not linked to a knowledge base, None], ['OT', Entity not linked to a knowledge base, None], ['WINDSHIELD', Entity(wikidata_entity_id=Q13693, wikipedia_entity_title=Windshield), None], ['OIL CAP', Entity not linked to a knowledge base, None]]"
19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,"[['ENG', Entity(wikidata_entity_id=Q3849762, wikipedia_entity_title=Marny Eng), 'PERSON'], ['VENT', None, 'CARDINAL']]"
19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"[['250 FEET', None, 'QUANTITY']]"
19780625035779I,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,"[['AKEOFF', Entity not linked to a knowledge base, None]]"
19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,[]
19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,"[['MUD DOBBER(WASP)NEST', Entity not linked to a knowledge base, 'PERSON'], ['FUEL VENT LINE', Entity not linked to a knowledge base, None]]"
19780712023399A,NO NARRATIVE.                                                                                                      ,"[['NO NARRATIVE', Entity not linked to a knowledge base, None]]"
19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,"[['LOW OIL STATE', Entity not linked to a knowledge base, 'GPE'], ['LNDD', Entity(wikidata_entity_id=Q17049525, wikipedia_entity_title=Conseil de prévention et de lutte contre le dopage), 'GPE'], ['OODED', Entity not linked to a knowledge base, None], ['ALFALFA FIELD', Entity not linked to a knowledge base, 'GPE']]"
19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['OAT', Entity(wikidata_entity_id=Q12104, wikipedia_entity_title=Oat), 'GPE'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]"
19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,[]
19780704042039I,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ","[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,[]
19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,"[['ATC', Entity(wikidata_entity_id=Q221395, wikipedia_entity_title=Air traffic control), None], ['CARGO DOOR', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,"[['55 GAL', None, 'QUANTITY']]"
19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['MAIN FUEL', Entity not linked to a knowledge base, None], ['UMP', Entity(wikidata_entity_id=Q173152, wikipedia_entity_title=Union for a Popular Movement), None]]"
19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['EL', Entity not linked to a knowledge base, None]]"
19780808049579I,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,"[['O', Entity not linked to a knowledge base, None], ['OIL STICK', Entity(wikidata_entity_id=Q7081466, wikipedia_entity_title=Oil stick), 'PERSON']]"
19780808049829I,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,"[['RAN', Entity not linked to a knowledge base, None], ['LOOSE WHEEL FAIR', Entity not linked to a knowledge base, None], ['JAMMED TIRE', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ",[]
19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FUEL TANK', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]"
19780814037299I,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'PERSON']]"
19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"[['15 MINUTES', None, 'TIME'], ['TAKEOFF AIRCRAFT', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",[]
19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,[]
19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,"[['HAD', Entity not linked to a knowledge base, 'PERSON'], ['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), 'PERSON']]"
19780907018599I,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,"[['NOSE GAR', Entity not linked to a knowledge base, None]]"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['FRONT BAGGAGE', Entity not linked to a knowledge base, 'PERSON']]"
19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","[['OSION', Entity not linked to a knowledge base, None], ['BEGAN', Entity(wikidata_entity_id=Q2602814, wikipedia_entity_title=Spindletop), 'GPE']]"
19781018032569I,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,[]
19781102023549I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"[['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19781102023729I,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,"[['NIGHT', None, 'TIME'], ['BATTERY', Entity not linked to a knowledge base, 'PERSON']]"
19780921019829I,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","[['HANGAR', Entity(wikidata_entity_id=Q192375, wikipedia_entity_title=Hangar), None], ['WINGTIP', Entity(wikidata_entity_id=Q3474233, wikipedia_entity_title=Wing tip), None], ['HANGAR', Entity(wikidata_entity_id=Q192375, wikipedia_entity_title=Hangar), 'GPE'], ['UGHT', Entity not linked to a knowledge base, None]]"
19780925018069I,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,"[['NACELLE', Entity(wikidata_entity_id=Q27070220, wikipedia_entity_title=Nacelle), None]]"
19780903028619A,PILOT WAS AWARE OF EXCESSIVE WATER IN FUEL.                                                                        ,"[['PILOT', Entity not linked to a knowledge base, 'PERSON'], ['C', Entity not linked to a knowledge base, None], ['IVE W', Entity not linked to a knowledge base, None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]"
19780923027059I,AIRCRAFT HAD TOTAL ELECTRICAL FAILURE ON FINAL. GEAR PARTIALLY EXTENDED AND COLLAPSED ON TOUCHDOWN.                ,[]
19780908034669A,GENERATOR SHORTING.                                                                                                ,"[['GENERATOR SHORTING', Entity not linked to a knowledge base, None]]"
19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,"[['FT', Entity not linked to a knowledge base, None], ['TE', Entity not linked to a knowledge base, None], ['UNKN RSN', Entity not linked to a knowledge base, None]]"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,[]
19781021036569A,DMGD WING & AILERON DRG PREVIOUS LDG.                                                                              ,"[['DMGD WING', Entity not linked to a knowledge base, 'PERSON'], ['AILERON DRG PREVIOUS LDG', Entity not linked to a knowledge base, None]]"
19781009029939I,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","[['ENG', Entity not linked to a knowledge base, None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), 'PERSON']]"
19780829037939I,ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. LANDED ON REMAINING RUNWAY GEAR UP.                                ,"[['TOFF', Entity(wikidata_entity_id=Q7812964, wikipedia_entity_title=Toff), None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19790119001139A,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,"[['CLIMB', Entity(wikidata_entity_id=Q1141401, wikipedia_entity_title=Rate of climb), 'ORG'], ['TOFF', Entity(wikidata_entity_id=Q7812964, wikipedia_entity_title=Toff), None]]"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"[['BAGGAGE C', Entity not linked to a knowledge base, None], ['JET BLAST', Entity(wikidata_entity_id=Q1996324, wikipedia_entity_title=Jet blast), 'PERSON'], ['BRAKES', Entity not linked to a knowledge base, 'PERSON']]"
19781108022269I,RAN OFF SIDE OF TAXIWAY AT NIGHT. LANDING LIGHT INOPERATIVE.                                                       ,"[['RAN', Entity not linked to a knowledge base, 'GPE'], ['TAXIWAY', Entity(wikidata_entity_id=Q910386, wikipedia_entity_title=Taxiway), 'GPE'], ['NIGHT', None, 'TIME']]"
19781114026859I,FORCED LANDING IN FIELD AFTER ENGINE QUIT. FOUND ICE IN FUEL LINES.                                                ,"[['FIELD', Entity not linked to a knowledge base, 'GPE'], ['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FUEL LINES', Entity not linked to a knowledge base, 'GPE']]"
19781120025989I,DIP STICK NOT PROPERLY SECURED. ENGINE SHUT DOWN DUE TO OIL LOSS. SINGLE GENERATOR FAILED DUE TO OVERLOAD.         ,[]
19781128024449I,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM. WATER CAME FROM A FUEL STORAGE TANK.                     ",[]
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"[['WHEELS', Entity(wikidata_entity_id=Q146728, wikipedia_entity_title=Water wheel), None]]"
19781230019999I,PILOT ASSUMED TANKS TO BE FULL. DID NOT CHECK. ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION.                  ,"[['ONE', None, 'CARDINAL'], ['AK', Entity not linked to a knowledge base, None], ['FF', Entity not linked to a knowledge base, None], ['U', Entity not linked to a knowledge base, None]]"
19781230020029I,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,[]
19790106001239I,"ICY RAMP AND RUNWAY, PILOT FAILED TO RELEASE BRAKES. TIRES BLOWN ON LANDING.                                       ","[['ICY', Entity(wikidata_entity_id=Q47568, wikipedia_entity_title=Iceberg), None], ['BRAKES', Entity(wikidata_entity_id=Q1534839, wikipedia_entity_title=Brake), None], ['IRES', Entity(wikidata_entity_id=Q166992, wikipedia_entity_title=Internal ribosome entry site), None]]"
19790107000829I,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS. OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP.             ","[['XI', Entity not linked to a knowledge base, None], ['6 QTS', None, 'QUANTITY']]"
19790111000619I,ENGINE QUIT AFTER LIFTOFF. LANDED GEAR UP. FOUND WATER IN FUEL AND 3 FOULED SPARK PLUGS.                           ,"[['ENG', Entity not linked to a knowledge base, None], ['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19790113001939I,ENGINE STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM. LANDED ON THE AIRPORT.                                      ,[]
19790116002119I,EMERGENCY LIFT-OFF AND GO AROUND DUE TO MAINTENANCE EQUIPMENT ON THE RUNWAY                                        ,"[['-OFF', Entity not linked to a knowledge base, None]]"
19790123003659I,PILOT DISCOVERED HE HAD NO LEFT BRAKE DURING TAXI.                                                                 ,"[['P', Entity not linked to a knowledge base, None], ['HAD NO LEFT BRAKE', Entity not linked to a knowledge base, None], ['UR', Entity not linked to a knowledge base, None], ['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), 'PERSON']]"
19790127003899I,RAN OUT OF OIL ON INSTRUCTIONAL FLIGHT. ENGINE FAILED INTERNALLY.                                                  ,"[['RAN', Entity not linked to a knowledge base, None]]"
19781110039789A,WITNESS STATED 1/4IN ICE ON AIRCRAFT.                                                                              ,"[['WITNESS STATED', Entity not linked to a knowledge base, None], ['1/4IN', Entity not linked to a knowledge base, None], ['ICE ON AIRCRAFT', Entity not linked to a knowledge base, None]]"
19781104034149A,R SKID HUNG UP ON R TIE DOWN STRAPS OF TRAILER.                                                                    ,"[['SKID HUNG', Entity not linked to a knowledge base, 'PERSON'], ['ILER', Entity(wikidata_entity_id=Q862039, wikipedia_entity_title=Robert Iler), None]]"
